acc_x,acc_y,acc_z,alt,label
-0.164062,-0.05481,0.984497,332.213409,none
-0.164673,-0.04895,0.964233,332.213409,none
-0.154663,-0.071655,0.959961,332.104401,none
-0.182617,-0.066772,0.963135,332.104401,none
-0.200928,-0.070557,0.956543,331.767456,none
-0.191284,-0.078247,0.965576,331.8526,none
-0.199951,-0.041748,0.973999,331.8526,none
-0.193359,-0.063599,0.973145,332.048309,none
-0.206787,-0.075073,0.961548,332.048309,none
-0.182129,-0.045532,0.984741,331.976166,none
-0.185791,-0.075317,0.940308,331.976166,none
-0.178345,-0.077148,0.973633,332.005219,none
-0.204102,-0.085571,0.946411,332.005219,none
-0.203857,-0.083862,0.943726,331.983948,none
-0.191406,-0.084229,0.970703,331.927368,none
-0.181396,-0.070068,0.954346,331.927368,none
-0.181396,-0.087646,0.972168,331.912811,none
-0.171265,-0.069458,0.958496,331.912811,none
-0.173828,-0.076904,0.972534,332.040527,none
-0.182495,-0.082031,0.956421,332.040527,none
-0.166382,-0.075562,0.966187,331.996918,none
-0.174072,-0.078735,0.962402,331.996918,none
-0.167725,-0.072754,0.96167,332.005219,none
-0.169189,-0.077637,0.965454,332.126709,none
-0.176514,-0.082764,0.962036,332.126709,none
-0.172363,-0.089355,0.963013,331.983948,none
-0.168091,-0.080933,0.966187,331.983948,none
-0.161499,-0.080811,0.956177,331.953308,none
-0.173462,-0.086304,0.95813,331.953308,none
-0.161987,-0.084351,0.971313,331.817291,none
-0.16748,-0.082275,0.963867,331.817291,none
-0.157837,-0.074707,0.954468,332.171875,none
-0.150269,-0.094116,0.968994,332.163574,none
-0.164429,-0.091675,0.96228,332.163574,none
-0.172607,-0.080811,0.980225,331.767456,none
-0.193848,-0.088379,0.965698,331.767456,none
-0.153687,-0.084839,0.950806,331.990692,none
-0.188721,-0.083374,0.959717,331.990692,none
-0.194458,-0.088257,0.941772,331.898285,none
-0.172485,-0.108887,0.973755,331.8526,none
-0.164917,-0.09082,0.975586,331.8526,none
-0.171387,-0.100342,0.893677,332.141266,none
-0.17627,-0.080322,0.93689,332.141266,none
-0.149536,-0.089233,0.978638,332.083618,none
-0.064941,-0.135864,0.898926,332.083618,none
-0.131958,-0.037476,1.147827,331.872833,none
-0.202515,0.07312,1.048218,331.872833,none
-0.0802,-0.08728,1.302612,332.10025,none
0.022583,-0.131836,1.266479,332.395142,none
-0.041016,0.051514,1.19397,332.395142,none
-0.016724,0.000854,0.983398,332.071167,none
0.078003,0.014526,0.891968,332.071167,none
0.138062,0.04187,0.899536,332.118927,none
0.074951,-0.037109,0.812134,332.118927,none
0.12793,0.164551,0.918457,332.264313,none
-0.005249,-0.112671,0.743286,332.264313,none
0.024292,0.164429,0.899536,332.184875,none
-0.010864,-0.042847,0.985229,332.228485,none
-0.112183,-0.055054,0.720093,332.228485,none
0.015503,-0.063477,1.090942,332.268982,none
-0.133179,-0.188354,1.021729,332.268982,none
-0.150879,-0.092407,0.866211,332.131897,none
-0.033203,0.015015,1.256836,332.131897,none
-0.091187,-0.114502,0.897095,332.224854,none
-0.095947,-0.033569,1.029785,332.224854,none
-0.054321,0.036499,0.938721,332.331268,none
-0.113892,-0.072021,0.946289,332.267426,none
-0.003906,-0.161621,0.982788,332.267426,none
0.023682,-0.046143,1.127686,332.374878,none
0.0177,-0.049805,0.825806,332.374878,none
0.035156,-0.152466,1.109741,332.236786,none
-0.081665,-0.088379,0.796143,332.236786,none
0.079468,-0.000854,1.24707,332.286102,none
-0.036865,-0.009766,0.95874,332.286102,none
-0.151367,0.054688,0.98877,332.179138,none
0.000366,-0.033203,1.206055,332.14386,none
-0.068481,-0.096802,0.981567,332.14386,none
-0.009033,0.114014,0.814087,332.112701,none
-0.248657,-0.305542,1.052856,332.112701,none
0.106323,0.034912,0.550415,332.329193,none
0.019409,-0.143921,0.874878,332.329193,none
0.025269,0.470337,1.183472,332.381104,none
0.013916,-0.01355,0.988403,332.381104,none
0.028198,-0.021606,0.983276,332.207703,none
0.00061,0.011719,0.986328,332.207703,none
0.011475,0.001343,0.981934,332.207703,none
0.007324,-0.067505,0.958252,332.386841,none
0.006714,0.047607,0.994873,332.386841,none
-0.000977,-0.015625,0.971069,332.207703,none
0.016113,-0.046265,0.970337,332.207703,none
0.017944,0.020264,0.990234,332.294403,none
0.011475,-0.009033,0.978394,332.294403,none
0.004028,-0.024414,0.972412,331.993286,none
-0.001343,-0.006836,0.97583,332.302185,none
0.001221,0.010742,0.985718,332.302185,none
0.010254,-0.023071,0.973389,332.136047,none
0.010498,-0.033203,0.971069,332.136047,none
0.004517,0.02063,0.988281,332.048309,none
0.00061,-0.016113,0.971191,332.048309,none
0.00354,-0.02356,0.969849,332.14386,none
0.007446,0.013916,0.984253,332.14386,none
0.010498,-0.019165,0.976318,332.108551,none
0.007446,-0.019897,0.974365,332.034302,none
0.000366,0.002319,0.978882,332.034302,none
0.000488,-0.001709,0.976929,332.055084,none
0.007202,-0.020874,0.974731,332.055084,none
0.007935,-0.008423,0.97876,332.020294,none
0.005371,0.000977,0.980591,332.020294,none
0.00354,-0.022461,0.973145,332.026001,none
0.002441,-0.004883,0.977051,331.990692,none
0.005005,0.00354,0.981323,331.990692,none
0.01001,-0.021118,0.97583,332.234711,none
0.008301,-0.010132,0.987427,332.234711,none
0.00354,0.001343,0.981689,332.110626,none
0.004761,-0.014771,0.97522,332.110626,none
0.005371,-0.011597,0.976196,331.923187,none
0.006958,-0.001465,0.980713,331.923187,none
0.006226,-0.011353,0.976929,332.159943,none
0.004517,-0.015869,0.974731,332.240417,none
0.002808,-0.000977,0.980835,332.240417,none
0.005981,-0.009155,0.975586,331.821442,none
0.00708,-0.018433,0.974976,331.821442,none
0.004761,-0.001343,0.980957,331.966278,none
0.003662,-0.006836,0.977173,331.966278,none
0.004761,-0.014893,0.975464,332.328156,none
0.005005,-0.005859,0.978638,332.328156,none
0.005249,-0.005249,0.979614,331.923187,none
0.006592,-0.013306,0.977539,332.102325,none
0.004517,-0.009033,0.978149,332.102325,none
0.003784,-0.001831,0.979126,332.19577,none
0.005371,-0.011108,0.977173,332.19577,none
0.005737,-0.010742,0.978027,331.966278,none
0.005371,-0.002686,0.979858,331.966278,none
0.005005,-0.010132,0.977783,332.102325,none
0.005127,-0.011108,0.977905,332.102325,none
0.005005,-0.003906,0.980225,331.937744,none
0.006714,-0.008789,0.979248,332.03067,none
0.005249,-0.011475,0.976929,332.03067,none
0.004272,-0.005981,0.979614,331.928925,none
0.005371,-0.007324,0.978516,331.928925,none
0.006348,-0.012085,0.978149,331.77005,none
0.005493,-0.007812,0.978516,331.77005,none
0.004883,-0.005615,0.978638,332.106995,none
0.00647,-0.010986,0.976685,332.106995,none
0.005493,-0.008057,0.979004,332.247162,none
0.005737,-0.005737,0.979736,332.23056,none
0.006226,-0.01123,0.976685,332.23056,none
0.005371,-0.009888,0.977417,331.970459,none
0.00415,-0.004883,0.978394,331.970459,none
0.005249,-0.009033,0.978271,332.224854,none
0.005859,-0.009033,0.976807,332.224854,none
0.005859,-0.005981,0.979126,332.057159,none
0.004639,-0.008911,0.977295,332.057159,none
0.005737,-0.011108,0.977173,331.875427,none
0.005005,-0.006226,0.978271,331.947601,none
0.005249,-0.007812,0.978149,331.947601,none
0.005493,-0.010254,0.977539,332.069611,none
0.004761,-0.006592,0.978027,332.069611,none
0.005981,-0.007812,0.978027,332.069611,none
0.005127,-0.007568,0.977173,332.069611,none
0.005249,-0.007446,0.979736,332.069611,none
0.005737,-0.007446,0.978149,331.809509,none
0.005249,-0.010132,0.977417,331.809509,none
0.005371,-0.007446,0.980469,332.127747,none
0.005859,-0.006836,0.977783,332.127747,none
0.005737,-0.009888,0.978027,331.932037,none
0.004761,-0.008179,0.977905,331.932037,none
0.004883,-0.007202,0.978027,332.090363,none
0.006958,-0.009277,0.97937,332.090363,none
0.006348,-0.008545,0.978149,331.858826,none
0.005737,-0.00647,0.979248,332.102844,none
0.004883,-0.007935,0.976074,332.102844,none
0.005615,-0.010376,0.978149,331.951752,none
0.005615,-0.007812,0.978394,331.951752,none
0.005371,-0.008179,0.977295,331.851044,none
0.005493,-0.008789,0.976685,331.851044,none
0.005371,-0.007202,0.97876,331.837006,none
0.004395,-0.009277,0.977417,331.837006,none
0.005615,-0.009033,0.978882,332.031189,none
0.005005,-0.008179,0.978271,331.958496,none
0.00415,-0.007202,0.978271,331.958496,none
0.004517,-0.008911,0.978027,331.776794,none
0.005615,-0.007202,0.979004,331.776794,none
0.005859,-0.007324,0.978516,332.022888,none
0.005127,-0.008057,0.977417,332.022888,none
0.005493,-0.008179,0.979492,331.742523,none
0.005005,-0.006958,0.978394,331.742523,none
0.005737,-0.008789,0.978149,331.82196,none
0.005371,-0.008545,0.978271,331.871796,none
0.005615,-0.006592,0.978516,331.871796,none
0.004761,-0.009033,0.978638,331.979279,none
0.005615,-0.008667,0.977783,331.979279,none
0.005005,-0.007935,0.979492,332.081024,none
0.006226,-0.007935,0.979614,332.081024,none
0.005737,-0.008789,0.978271,332.127228,none
0.004395,-0.007568,0.979492,332.127228,none
0.005127,-0.008301,0.978027,332.026001,none
0.005127,-0.009644,0.978638,332.007812,none
0.005371,-0.007812,0.978149,332.007812,none
0.005371,-0.00769,0.978149,332.104401,none
0.004395,-0.008911,0.978638,332.104401,none
0.004639,-0.007812,0.978882,332.277802,none
0.005493,-0.008423,0.978271,332.277802,none
0.006104,-0.009033,0.978271,332.271057,none
0.004639,-0.008057,0.978027,332.271057,none
0.005005,-0.008179,0.978516,332.170319,none
0.005127,-0.008179,0.978394,332.065979,none
0.004395,-0.008179,0.978027,332.065979,none
0.005127,-0.00708,0.977905,332.047272,none
0.004761,-0.008057,0.978394,332.047272,none
0.005127,-0.00708,0.978394,332.110107,none
0.006226,-0.008423,0.978394,332.110107,none
0.005737,-0.00769,0.978149,332.038452,none
0.005615,-0.008911,0.977905,332.038452,none
0.006348,-0.00769,0.978516,332.090363,none
0.005005,-0.008423,0.980103,332.069092,none
0.005615,-0.007935,0.977905,332.069092,none
0.005371,-0.007446,0.977539,332.003662,none
0.005249,-0.008423,0.978394,332.003662,none
0.005249,-0.008301,0.978271,332.038452,none
0.004883,-0.008545,0.97876,332.038452,none
0.005127,-0.008667,0.97876,332.203033,none
0.004395,-0.008667,0.977539,332.203033,none
0.005615,-0.007935,0.977783,332.029633,none
0.005371,-0.008789,0.977051,332.151642,none
0.005005,-0.008789,0.978149,332.151642,none
0.005005,-0.008423,0.977783,331.862976,none
0.005493,-0.008911,0.978027,331.862976,none
0.005249,-0.008423,0.978516,332.043121,none
0.005249,-0.009277,0.978882,332.043121,none
0.005371,-0.008179,0.978149,332.280396,none
0.004639,-0.008423,0.978027,332.07843,none
0.005859,-0.007446,0.977173,332.07843,none
0.004639,-0.008179,0.978027,332.091919,none
0.004761,-0.008545,0.977661,332.091919,none
0.004639,-0.008423,0.977295,332.286102,none
0.005615,-0.008057,0.978027,332.286102,none
0.005737,-0.009155,0.978638,332.191101,none
0.005127,-0.009033,0.978638,332.191101,none
